gvkey,datadate,conm,tic,cusip,dldte,dlrsn
175718,2010/1/4,WISDOMTREE GLOBAL EX-US UTL,DBU,97717W653,2016/9/23,3
66561,2010/1/4,ARPETROL LTD,RPT.,04271B307,2016/9/21,3
181874,2010/1/4,PROSHARES ULTSH BLOOMB CMDTY,CMD.1,74347W676,2016/8/26,3
181878,2010/1/4,PROSHARES ULTRA BLOOMB CMDTY,UCD,74347W288,2016/8/26,3
183165,2010/1/4,PROSHARES ULTRASH MSCI PAC,JPX.1,74347X229,2016/8/26,3
184770,2010/4/29,PROSHARES ULT MSCI PAC EXJPN,UXJ,74347X534,2016/8/26,3
176037,2010/1/4,SPDR RUSSELL/NOMURA PRIME JP,JPP,78463X830,2016/8/25,3
176038,2010/1/4,SPDR RUSLL/NOMURA SML CP JPN,JSC,78463X822,2016/8/25,3
177736,2010/1/4,SPDR S&P BRIC 40 ETF,BIK,78463X798,2016/8/25,3
178596,2010/1/4,SPDR NUVN BRCLYS NY MUNI ETF,INY,78464A433,2016/8/25,3
178597,2010/1/4,SPDR NUVN BRCLYS CA MUNI ETF,CXA,78464A441,2016/8/25,3
179486,2010/1/4,TRIDENT PERFORMANCE CORP,TCP.,8.96E+112,2016/8/25,3
180049,2010/1/4,SPDR S&P INTL MID CAP ETF,MDD,78463X764,2016/8/25,3
182904,2010/1/4,TRIDENT PERFORMANCE CORP II,TCZ.,89616F105,2016/8/25,3
184863,2010/5/13,SPDR NUVN BRCLYS BLD AMR ETF,BABS,78464A276,2016/8/25,3
142646,2010/1/4,DOMINION CITRUS INCOME FUND,DOM.UN,257231100,2016/8/24,3
152910,2010/1/4,MORGAN STANLEY CAP TR III,MWR,617460209,2016/8/18,3
153575,2010/1/4,MORGAN STANLEY CAP TR IV,MWG.1,617462205,2016/8/18,3
155035,2010/1/4,MORGAN STANLEY CAP TR V,MWO,617466206,2016/8/18,3
3230,2010/1/4,COMDISCO HOLDING CO INC,CDCO,200334100,2016/8/8,3
174520,2010/1/4,MORGAN STANLEY CAP TR VIII,MSK,61753R200,2016/8/3,3
4740,2010/1/4,WINTHROP REALTY TRUST,FUR,976391300,2016/8/2,3
112035,2010/1/4,MANAGED HIGH YIELD PLUS FUND,HYF,561911108,2016/6/23,3
24866,2010/1/4,STRATEGIC GLOBAL INCM FD INC,SGL,862719101,2016/5/19,3
184109,2010/4/22,DYNAVOX INC,DVOXQ,26817F104,2016/4/27,3
28943,2010/1/4,GLOBAL HIGH INCOME FUND INC,GHI.1,37933G108,2016/4/12,3
183592,2010/1/4,ALPS GLOBAL CMDTY EQUITY ETF,CRBQ,00162Q304,2016/3/28,3
182939,2010/1/4,COLUMBIA SELECT LG-CP VALUE,GVT,19761R109,2016/1/29,3
183651,2010/1/4,COLUMBIA LG CAP GROWTH ETF,RPX,19761R307,2016/1/29,3
183652,2010/1/4,COLUMBIA SELECT LG-CP GRWTH,RWG,19761R406,2016/1/29,3
66675,2010/1/4,XPONENTIAL INC,XPOI,98415T109,2016/1/28,3
7543,2010/1/4,MONTGOMERY STREET INCOME SEC,MTS,614115103,2015/12/24,3
113372,2010/1/4,DOCUMENT CAPTURE TECHNOLGS,DCMT.1,25614C108,2015/12/16,3
61298,2010/1/4,TEMPLETON RUSSIA & E EURO FD,TRF,88022F105,2015/11/23,3
184368,2010/2/24,EGSHARES BRAZIL INFRASTRUCTR,BRXX,268461829,2015/11/2,3
147307,2010/1/4,AMBASSADORS GROUP INC,EPAX,23177108,2015/10/26,3
176500,2010/1/4,MEDWORXX SOLUTIONS INC,MWX.1,58508M205,2015/10/19,3
179703,2010/1/4,PROSHARES ULTRASHRT TELECOMS,TLL,74347B755,2015/9/15,3
16572,2010/1/4,MFS INTERMARKET INCOME TR I,CMK,59318R103,2015/9/10,3
179832,2010/1/4,WHITING USA TRUST I,WHXT,966389108,2015/9/9,3
178911,2010/1/4,ISHARES ASIA DEV REAL ESTATE,IFAS,464288463,2015/8/24,3
178914,2010/1/4,ISHARES N AM REAL ESTATE ETF,IFNA,464288455,2015/8/24,3
180305,2010/1/4,ISHARES FTSE CHINA ETF,FCHI,464288190,2015/8/24,3
183650,2010/1/4,ISHARES MSCI EMRG MKT E EURP,ESR,464286566,2015/8/24,3
105956,2010/1/4,COMMUNITY SERVICE COMMCTNS,CMYS,20404P203,2015/8/6,3
146887,2010/1/4,ALLIANCE NEW YORK MUN INC FD,AYN,18714105,2015/8/6,3
4090,2010/1/4,ALCO STORES INC,ALCSQ,1600105,2015/7/24,3
8065,2010/1/4,OAKRIDGE ENERGY INC,OAKR,673828208,2015/7/10,3
178462,2010/1/4,DEUTSCHE X-TRACKERS IN TARGT,TDX,233052505,2015/5/19,3
178464,2010/1/4,DEUTSCHE X-TRKRS 2030 TARGET,TDN,233052307,2015/5/19,3
178465,2010/1/4,DEUTSCHE X-TRKRS 2020 TARGET,TDH,233052208,2015/5/19,3
178466,2010/1/4,DEUTSCHE X-TRKRS 2010 TARGET,TDD,233052109,2015/5/19,3
105731,2010/1/4,CALVALLEY PETROLEUM INC,CVI.A,131911109,2015/5/13,3
63638,2010/1/4,MORGAN STAN EASTERN EUROPE,RNE,616988101,2015/3/23,3
182929,2010/1/4,SPDR S&P MORTGAGE FIN ETF,KME,78464A524,2015/3/19,3
183613,2010/1/4,SPDR NUVEEN S&P VRDO MUNI BD,VRD,78464A318,2015/3/19,3
180404,2010/1/4,HORIZONS BETAPRO MSCI EMG BU,HJU.,44045Q206,2015/3/11,3
160908,2010/1/4,MD TECHNOLOGIES INC,MDTO,552688202,2015/2/5,3
184852,2010/5/11,RUSSELL EXCHANGE TRADED FDS,ONEF,782474522,2015/1/27,3
176765,2010/1/4,PROSHARES ULTSH RUSS2000 VAL,SJH,74348A384,2015/1/9,3
176767,2010/1/4,PROSHARES ULTSH RUSS1000 GTH,SFK,74348A624,2015/1/9,3
176769,2010/1/4,PROSHARES ULTSH RUSS1000 VAL,SJF,74348A483,2015/1/9,3
176770,2010/1/4,PROSHARES ULTSH RUSS2000 GTH,SKK.1,74348A293,2015/1/9,3
176771,2010/1/4,PROSHARES ULTRA RUSS1000 GTH,UKF,74347R537,2015/1/9,3
176773,2010/1/4,PROSHARES ULTSH RUSS MDCP VL,SJL,74347B771,2015/1/9,3
176774,2010/1/4,PROSHARES ULTRA RUSS MDCP GR,UKW,74347R511,2015/1/9,3
176775,2010/1/4,PROSHARES ULTRA RUSS MDCP VL,UVU,74347R495,2015/1/9,3
176776,2010/1/4,PROSHARES ULTRA RUSS2000 VAL,UVT,74347R479,2015/1/9,3
176777,2010/1/4,PROSHARES ULTRA RUSS1000 VAL,UVG,74347R529,2015/1/9,3
176778,2010/1/4,PROSHARES ULTSH RUSS MDCP GR,SDK,74347B763,2015/1/9,3
176779,2010/1/4,PROSHARES ULTRA RUSS2000 GTH,UKK,74347R487,2015/1/9,3
183213,2010/1/4,PROSHARES ULTRA RUSSELL 3000,UWC,74347X104,2015/1/9,3
183214,2010/1/4,PROSHARES ULTSH RUSSELL 3000,TWQ,74348A681,2015/1/9,3
160346,2010/1/4,CORTS TR II GOLDMAN SACHS CA,HYL,22082P208,2015/1/6,3
29265,2010/1/4,TORCH ENERGY ROYALTY TRUST,TRRU,891013104,2014/12/23,3
13424,2010/1/4,TECHNOLOGY MONITORING SOLTNS,TMSG,87873L104,2014/12/22,3
184634,2010/4/7,MARKET VECTORS LAT AMER SMCP,LATM,57060U530,2014/12/15,3
121273,2010/1/4,BACKWEB TECHNOLOGIES LTD,BWEBF,M15633106,2014/11/7,3
160177,2010/1/4,ISHARES NYSE 100 ETF,NY,464287135,2014/10/15,3
160179,2010/1/4,ISHARES NYSE COMPOSITE ETF,NYC.,464287143,2014/10/15,3
177357,2010/1/4,ISHARES INDL/OFFICE RE CPD,FNIO,464288554,2014/10/15,3
177362,2010/1/4,ISHARES RETAIL RE CAPPED ETF,RTL.5,464288547,2014/10/15,3
180307,2010/1/4,ISHARES GBL NUCLEAR ENRG ETF,NUCL,464288232,2014/10/15,3
181697,2010/1/4,ISHARES TARGET DATE 2010 ETF,TZD,464289206,2014/10/15,3
181698,2010/1/4,ISHARES TARGET DT RETIR INCM,TGR.1,464289107,2014/10/15,3
181728,2010/1/4,ISHARES TARGET DATE 2015 ETF,TZE,464289305,2014/10/15,3
181729,2010/1/4,ISHARES TARGET DATE 2020 ETF,TZG,464289404,2014/10/15,3
181730,2010/1/4,ISHARES TARGET DATE 2025 ETF,TZI,464289503,2014/10/15,3
181731,2010/1/4,ISHARES TARGET DATE 2030 ETF,TZL,464289602,2014/10/15,3
181732,2010/1/4,ISHARES TARGET DATE 2035 ETF,TZO,464289701,2014/10/15,3
181733,2010/1/4,ISHARES TARGET DATE 2040 ETF,TZV,464289800,2014/10/15,3
184192,2010/1/22,ISHARES MSCI EM MK FINLS ETF,EMFN,464289172,2014/10/15,3
184193,2010/1/22,ISHARES MSCI EM MATRLS ETF,EMMT,464289198,2014/10/15,3
184196,2010/1/22,ISHARES MSCI FAR EAST FINL,FEFN,464289214,2014/10/15,3
174932,2010/1/4,ETHANEX ENERGY INC,EHTEQ,297612202,2014/10/3,3
184318,2010/2/17,EGSHARES CHINA INFRASTRUCTR,CHXX.1,268461837,2014/9/30,3
284041,2010/1/19,OCZ TECHNOLOGY GROUP INC,OCZTQ,6.71E+307,2014/8/25,3
139526,2010/1/4,OILSANDS QUEST INC,OBQI,678046103,2014/8/22,3
6025,2010/1/4,FURNITURE BRANDS INTL INC,FBNIQ,360921209,2014/8/1,3
105848,2010/1/4,PROTECTIVE PRODUCTS OF AMER,7156B,74367R102,2014/7/1,3
136864,2010/1/4,MERCANTILE BANCORP INC/IL,MBCRQ,58734P105,2014/7/1,3
2222,2010/1/4,SAVIENT PHARMACEUTICALS INC,SVNTQ,80517Q100,2014/6/2,3
160557,2010/1/4,WESTERN ASST INFLATN MGMT FD,IMF.2,95766U107,2014/6/2,3
183527,2010/1/4,NIMIN ENERGY CORP,NNN.H,65440N100,2014/5/21,3
144565,2010/1/4,CI MASTER LP,CIP.UN,125528109,2014/4/28,3
182695,2010/1/4,DEANS KNIGHT INCOME CORP,DNC.,24242T104,2014/4/16,3
108188,2010/1/4,MEDIA SCIENCES INTL INC,MSII.2,58446X206,2014/4/1,3
184191,2010/1/22,ISHARES MSCI ACWI EX US FINL,AXFN,464289164,2014/3/26,3
179426,2010/1/4,GUGGENHEIM ENHANCED CORE BD,GIY,18383M662,2014/3/10,3
165430,2010/1/4,POWERSHARES LUX NANOTECH PT,PXN,73935X633,2014/2/19,3
175700,2010/1/4,POWERSHARES DYNM MAGNIQUANT,PIQ,73935X468,2014/2/19,3
180210,2010/1/4,POWERSHARES MENA FRONTIER CT,PMNA,73936Q603,2014/2/19,3
17762,2010/1/4,CAPITOL BANCORP LTD,CBCRQ,14056D105,2014/2/6,3
185135,2010/6/23,HORIZONS BETAPRO CPR BULL,HKU.,44047V104,2014/1/29,3
185136,2010/6/23,HORIZONS BETAPRO CPR BEAR PL,HKD.,44047W102,2014/1/29,3
107046,2010/1/4,WIRELESS MATRIX CORP,WRX.H,97653G100,2014/1/8,3
175836,2010/1/4,CANADIAN WIRELESS TRUST,CDW.UN,13679U106,2014/1/3,3
155163,2010/1/4,SKYLON INTL ADVANTAGE YIELD,SIA.UN,83085W103,2013/12/24,3
165486,2010/1/4,PGNX CAPITAL CORP,PGN.H,69342M103,2013/12/24,3
60897,2010/1/4,DIVERSINET CORP,DVNTF,25536K303,2013/12/17,3
26898,2010/1/4,AUTOIMMUNE INC,AIMM,52776101,2013/12/16,3
178202,2010/1/4,MARKLAND AGF PRECIOUS METALS,MPM.1,570655100,2013/12/11,3
176167,2010/1/4,COPERNICAN WRLD BKS SPLT INC,CBW.,21727R108,2013/11/29,3
176957,2010/1/4,COPERNICAN INTL FINL SPLT CP,CIR.,21727L101,2013/11/29,3
9305,2010/1/4,S & K FAMOUS BRANDS INC,SKFBQ,783774102,2013/10/21,3
23289,2010/6/2,DIGITAL GAS INC,DIGGQ,25385F207,2013/10/21,3
163847,2010/1/4,ALLIANZGI INTL & PREM STRAT,NAI,01882X108,2013/10/17,3
127481,2010/1/4,MAXYGEN INC,MAXY,577776107,2013/8/30,3
24436,2010/1/4,THQ INC,THQIQ,872443601,2013/8/16,3
21971,2010/1/4,THAI CAPITAL FUND INC,TF.1,882905201,2013/8/13,3
162018,2010/1/6,GLOBAL ALUMINA CORP,GBAMF,37944L104,2013/7/12,3
180636,2010/1/4,A123 SYSTEMS INC,AONEQ,03739T108,2013/7/9,3
183856,2010/1/4,ISHARES DIVERSIFIED ALT TR,ALT.8,464294107,2013/5/29,3
27911,2010/1/4,EASTERN AMERN NATURAL GAS TR,NGT,276217106,2013/5/28,3
164561,2010/1/4,BERKLEY (WR) CAP TR II,WRB.PA,08449Q203,2013/5/28,3
183596,2010/2/3,TUFFNELL LTD,TUFF,89904P104,2013/5/23,3
150223,2010/1/4,ZIONS CAPITAL TRUST B,ZB.PB,989703202,2013/5/3,3
5357,2010/1/4,GRUBB & ELLIS CO,GRBEQ,400095204,2013/4/15,3
179709,2010/1/4,CREDIT SUISSE GUERNSEY BRH,CRP,225448208,2013/3/28,3
17126,2010/1/4,DIAMOND HILL FINL TRENDS FD,DHFT,25264C101,2013/3/22,3
177867,2010/1/4,MS STR ASSET 7.375 SATURNS,HJT,86360Y207,2013/3/21,3
182755,2010/1/4,HORIZONS GARTMAN ETF,HAG.,44050C100,2013/3/20,3
184003,2010/1/4,HORIZONS ACTIVE INCOME PLUS,HAP.,44051L117,2013/3/20,3
216475,2010/1/4,LEHMAN ABS SER 2002-10 CTFS,XFD,21988G429,2013/3/20,3
184305,2010/2/10,HORIZONS ACTIVE NA VALUE ETF,HAV.,44051C109,2013/3/20,3
157141,2010/1/4,SOUTHERN COMMUNITY CAP TR II,SCMFO,842633208,2013/3/18,3
178816,2010/1/4,GUGGENHEIM 2X S&P 500 ETF,RSU,78355W783,2013/3/18,3
178818,2010/1/4,GUGGENHEIM INVERSE 2X SP 500,RSW,78355W767,2013/3/18,3
179237,2010/1/4,AMERICAN INTL GRP JR SUB A5,AVF,26874859,2013/3/18,3
182305,2010/1/4,GUGGENHEIM AIRLINE ETF,FAA,18383Q812,2013/3/18,3
184456,2010/3/9,CLAYMORE WILSHIRE 5000 TM,WFVK,18383M498,2013/3/18,3
184457,2010/3/9,CLAYMORE WILSHIRE 4500 COMPL,WXSP,18383M480,2013/3/18,3
184906,2010/5/19,PAX MSCI NA ESG INDEX ETF,NASI,70422P107,2013/3/14,3
216461,2010/1/4,SELECTIVE INSUR 7.5 JR SUB,SGZ,816300305,2013/3/8,3
158789,2010/1/4,NPB CAPITAL TRUST II,NPBCO,62935R209,2013/3/7,3
184165,2010/4/5,CONTINENTAL RESOURCES GRP,3CRGC,21201Q105,2013/3/4,3
165431,2010/1/4,POWERSHARES DYNAMIC INSUR PT,PIC.1,73935X641,2013/2/27,3
175701,2010/1/4,POWERSHARES DYNM BANKING SCT,PJB,73935X336,2013/2/27,3
176177,2010/1/4,POWERSHARES MORNSTAR STKINVS,PYH,73935X179,2013/2/27,3
179708,2010/1/4,POWERSHARES GLOBAL NUCLR ENR,PKN,73937B100,2013/2/27,3
179826,2010/1/4,POWERSHARES ACTIVE MEGA-CAP,PMA,73935B300,2013/2/27,3
179827,2010/1/4,POWERSHARES ACTIVE LOW DURTN,PLK,73935B409,2013/2/27,3
179975,2010/1/4,POWERSHARES IBBOTSON ALT COM,PTO,73936Q306,2013/2/27,3
179976,2010/1/4,POWERSHARES RIVERFRT TACT BL,PAO,73936Q405,2013/2/27,3
179977,2010/1/4,POWERSHARES RIVERFRT TACT GR,PCA,73936Q504,2013/2/27,3
180357,2010/1/4,POWERSHARES GLOBAL WIND ENRY,PWND,73937B308,2013/2/27,3
180842,2010/1/4,POWERSHARES II GLOBAL COAL,PKOL,73936Q884,2013/2/27,3
180844,2010/1/4,POWERSHARES II GLOBAL STEEL,PSTL.1,73936Q868,2013/2/27,3
3041,2010/1/4,MILACRON INC,MZIAQ,598709301,2013/2/22,3
5458,2010/1/4,HANDLEMAN CO,HDLM,410252100,2013/1/16,3
182611,2010/1/4,HORIZONS BETAPRO S&P/TSX CAP,HIF.,44046A101,2013/1/16,3
182656,2010/1/4,HORIZONS BETAPRO S&P/TSX ENG,HIE.,44046P108,2013/1/16,3
182657,2010/1/4,HORIZONS BETAPRO S&P/TSX GLD,HIG.2,44046R104,2013/1/16,3
129087,2010/1/4,TELECOM HOLDERS TR,TTHYL,87927P200,2013/1/8,3
137143,2010/1/4,UTILITIES HOLDRS TR,UTHYL,918019100,2013/1/8,3
140032,2010/1/4,SOFTWARE HOLDRS TR,SWHYL,83404B103,2013/1/8,3
126697,2010/1/4,BIOTECH HOLDERS TRUST,BBHYL,09067D201,2013/1/7,3
129098,2010/1/4,PHARMACEUTICAL HOLDERS TRUST,PPHYL,71712A206,2013/1/7,3
135249,2010/1/4,SEMICONDUCTOR HLDRS TR,SMHYL,816636203,2013/1/7,3
142253,2010/1/4,OIL SERVICE HOLDRS TR,OIHYL,678002106,2013/1/7,3
143466,2010/1/4,RETAIL HOLDERS TR,RTHYL,76127U101,2013/1/7,3
26015,2010/1/4,TRIDENT MICROSYSTEMS INC,TRIDQ,895919108,2012/12/24,3
138201,2010/1/4,SOAPSTONE NETWORKS INC,SOAP,833570104,2012/12/24,3
177774,2010/1/4,GLOBALBANC ADVANT 8 SPLIT CP,GBA.,37948T103,2012/12/18,3
183926,2010/1/4,CITIGROUP FUNDING SPX LASERS,IFO,17314V502,2012/12/6,3
216293,2010/1/4,LEHMAN ABS SER 2003-12 CTFS,JZS,21988G239,2012/12/6,3
180099,2010/1/4,WISDOMTREE DRYF JAPANESE YEN,JYF,97717W224,2012/12/4,3
180302,2010/1/4,WISDOMTREE DRYF S AFRIC RAND,SZR,97717W158,2012/12/4,3
181932,2010/1/4,WISDOMTREE LARGECAP GRWTH FD,ROI.3,97717X107,2012/12/4,3
177235,2010/1/4,EXTERRA ENERGY INC,EENIQ,30225W204,2012/11/28,3
65846,2010/1/4,FIERA HIGH INCOME TRUST,HIT.UN,31659W108,2012/11/12,3
2606,2010/1/4,CAGLE'S INC  -CL A,CAGAQ,127703106,2012/11/7,3
130048,2010/1/4,VIA NET.WORKS INC,VNWI,925912107,2012/10/31,3
164270,2010/1/4,BIONOVO INC,BNVIQ,90643206,2012/10/31,3
108866,2010/1/4,WOOD COMPOSITE TECHNOLOGIES,WCT.,977902204,2012/10/24,3
174488,2010/1/4,TORCHMARK CAPITAL TRUST III,TMK.PA,89102W208,2012/10/24,3
264629,2010/1/4,SHENGDATECH INC,SDTHQ,823213103,2012/10/18,3
148111,2010/1/4,TRUST CTFS 2002-1 BEAR STEAR,TZK,89826W104,2012/10/11,3
177191,2010/1/4,CADOMIN CAPITAL CORP,CDK.H,127608107,2012/9/24,3
176872,2010/1/4,BARZEL INDUSTRIES INC,TPUTQ,69744100,2012/9/12,3
183951,2010/1/4,DIREXION DAILY LAT AM BEAR3X,LHB,25459W649,2012/9/12,3
184474,2010/3/11,DIREXION DAILY BRIC BEAR 3X,BRIS,25459W359,2012/9/12,3
184475,2010/3/11,DIREXION DAILY BRIC BULL 3X,BRIL,25459W367,2012/9/12,3
184476,2010/3/11,DIREXION DAILY INDIA BEAR 3X,INDZ,25459W375,2012/9/12,3
